"","Scenario","Location","Vegetation","Year","Decade","Avg"
"4190","SRES A1B","Northwest Interior Forest North","Black Spruce",2058,2050,71241
"4191","SRES A1B","Northwest Interior Forest North","Black Spruce",2059,2050,71419
"4192","SRES A1B","Northwest Interior Forest North","Black Spruce",2060,2060,71907
"4193","SRES A1B","Northwest Interior Forest North","Black Spruce",2061,2060,72755
"4194","SRES A1B","Northwest Interior Forest North","Black Spruce",2062,2060,73506
"4195","SRES A1B","Northwest Interior Forest North","Black Spruce",2063,2060,73880
"4196","SRES A1B","Northwest Interior Forest North","Black Spruce",2064,2060,71077
"4197","SRES A1B","Northwest Interior Forest North","Black Spruce",2065,2060,72286
"4198","SRES A1B","Northwest Interior Forest North","Black Spruce",2066,2060,72657
"4199","SRES A1B","Northwest Interior Forest North","Black Spruce",2067,2060,71529
"4200","SRES A1B","Northwest Interior Forest North","Black Spruce",2068,2060,70211
"4201","SRES A1B","Northwest Interior Forest North","Black Spruce",2069,2060,71572
"4202","SRES A1B","Northwest Interior Forest North","Black Spruce",2070,2070,69998
"4203","SRES A1B","Northwest Interior Forest North","Black Spruce",2071,2070,71292
"4204","SRES A1B","Northwest Interior Forest North","Black Spruce",2072,2070,72563
"4205","SRES A1B","Northwest Interior Forest North","Black Spruce",2073,2070,73392
"4206","SRES A1B","Northwest Interior Forest North","Black Spruce",2074,2070,71695
"4207","SRES A1B","Northwest Interior Forest North","Black Spruce",2075,2070,70975
"4208","SRES A1B","Northwest Interior Forest North","Black Spruce",2076,2070,71405
"4209","SRES A1B","Northwest Interior Forest North","Black Spruce",2077,2070,72049
"4210","SRES A1B","Northwest Interior Forest North","Black Spruce",2078,2070,70791
"4211","SRES A1B","Northwest Interior Forest North","Black Spruce",2079,2070,71688
"4212","SRES A1B","Northwest Interior Forest North","Black Spruce",2080,2080,70883
"4213","SRES A1B","Northwest Interior Forest North","Black Spruce",2081,2080,70783
"4214","SRES A1B","Northwest Interior Forest North","Black Spruce",2082,2080,68430
"4215","SRES A1B","Northwest Interior Forest North","Black Spruce",2083,2080,67183
"4216","SRES A1B","Northwest Interior Forest North","Black Spruce",2084,2080,67825
"4217","SRES A1B","Northwest Interior Forest North","Black Spruce",2085,2080,67632
"4218","SRES A1B","Northwest Interior Forest North","Black Spruce",2086,2080,68056
"4219","SRES A1B","Northwest Interior Forest North","Black Spruce",2087,2080,69101
"4220","SRES A1B","Northwest Interior Forest North","Black Spruce",2088,2080,70282
"4221","SRES A1B","Northwest Interior Forest North","Black Spruce",2089,2080,70776
"4222","SRES A1B","Northwest Interior Forest North","Black Spruce",2090,2090,69505
"4223","SRES A1B","Northwest Interior Forest North","Black Spruce",2091,2090,69207
"4224","SRES A1B","Northwest Interior Forest North","Black Spruce",2092,2090,68232
"4225","SRES A1B","Northwest Interior Forest North","Black Spruce",2093,2090,68352
"4226","SRES A1B","Northwest Interior Forest North","Black Spruce",2094,2090,68937
"4227","SRES A1B","Northwest Interior Forest North","Black Spruce",2095,2090,65740
"4228","SRES A1B","Northwest Interior Forest North","Black Spruce",2096,2090,66057
"4229","SRES A1B","Northwest Interior Forest North","Black Spruce",2097,2090,64467
"4230","SRES A1B","Northwest Interior Forest North","Black Spruce",2098,2090,64808
"4231","SRES A1B","Northwest Interior Forest North","Black Spruce",2099,2090,65260
"4232","SRES A1B","Northwest Interior Forest North","Black Spruce",2100,2100,63710
"4233","SRES A1B","Northwest Interior Forest North","Deciduous",2009,2000,230052
"4234","SRES A1B","Northwest Interior Forest North","Deciduous",2010,2010,229073
"4235","SRES A1B","Northwest Interior Forest North","Deciduous",2011,2010,227592
"4236","SRES A1B","Northwest Interior Forest North","Deciduous",2012,2010,226038
"4237","SRES A1B","Northwest Interior Forest North","Deciduous",2013,2010,225422
"4238","SRES A1B","Northwest Interior Forest North","Deciduous",2014,2010,234215
"4239","SRES A1B","Northwest Interior Forest North","Deciduous",2015,2010,235087
"4240","SRES A1B","Northwest Interior Forest North","Deciduous",2016,2010,233524
"4241","SRES A1B","Northwest Interior Forest North","Deciduous",2017,2010,232310
"4242","SRES A1B","Northwest Interior Forest North","Deciduous",2018,2010,236866
"4243","SRES A1B","Northwest Interior Forest North","Deciduous",2019,2010,235158
"4244","SRES A1B","Northwest Interior Forest North","Deciduous",2020,2020,234828
"4245","SRES A1B","Northwest Interior Forest North","Deciduous",2021,2020,237435
"4246","SRES A1B","Northwest Interior Forest North","Deciduous",2022,2020,235728
"4247","SRES A1B","Northwest Interior Forest North","Deciduous",2023,2020,234318
"4248","SRES A1B","Northwest Interior Forest North","Deciduous",2024,2020,234196
"4249","SRES A1B","Northwest Interior Forest North","Deciduous",2025,2020,245065
"4250","SRES A1B","Northwest Interior Forest North","Deciduous",2026,2020,243587
"4251","SRES A1B","Northwest Interior Forest North","Deciduous",2027,2020,241881
"4252","SRES A1B","Northwest Interior Forest North","Deciduous",2028,2020,241623
"4253","SRES A1B","Northwest Interior Forest North","Deciduous",2029,2020,239846
"4254","SRES A1B","Northwest Interior Forest North","Deciduous",2030,2030,241339
"4255","SRES A1B","Northwest Interior Forest North","Deciduous",2031,2030,241974
"4256","SRES A1B","Northwest Interior Forest North","Deciduous",2032,2030,240523
"4257","SRES A1B","Northwest Interior Forest North","Deciduous",2033,2030,241882
"4258","SRES A1B","Northwest Interior Forest North","Deciduous",2034,2030,240744
"4259","SRES A1B","Northwest Interior Forest North","Deciduous",2035,2030,244131
"4260","SRES A1B","Northwest Interior Forest North","Deciduous",2036,2030,256600
"4261","SRES A1B","Northwest Interior Forest North","Deciduous",2037,2030,256633
"4262","SRES A1B","Northwest Interior Forest North","Deciduous",2038,2030,255928
"4263","SRES A1B","Northwest Interior Forest North","Deciduous",2039,2030,260941
"4264","SRES A1B","Northwest Interior Forest North","Deciduous",2040,2040,262608
"4265","SRES A1B","Northwest Interior Forest North","Deciduous",2041,2040,260773
"4266","SRES A1B","Northwest Interior Forest North","Deciduous",2042,2040,259373
"4267","SRES A1B","Northwest Interior Forest North","Deciduous",2043,2040,257685
"4268","SRES A1B","Northwest Interior Forest North","Deciduous",2044,2040,263656
"4269","SRES A1B","Northwest Interior Forest North","Deciduous",2045,2040,264763
